                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.391,                0.71825,                  1.313,                0.95579,                0.94119,                0.97888,                0.62797,                 1.2977,                0.64333,                 1.5156,               0.009439,               0.009439,               0.009439
                     36,                 1.3854,                0.69869,                 1.3073,                0.93793,                0.87707,                0.94001,                0.58446,                 1.3437,                0.76107,                 1.5531,              0.0094225,              0.0094225,              0.0094225
                     37,                 1.3736,                 0.6677,                 1.2827,                0.94163,                0.91515,                0.97233,                0.61396,                  1.287,                0.68463,                 1.4993,               0.009406,               0.009406,               0.009406
                     38,                 1.3422,                0.66124,                  1.289,                0.93005,                0.82322,                0.91787,                0.54008,                   1.48,                0.77473,                 1.6389,              0.0093895,              0.0093895,              0.0093895
                     39,                 1.3502,                0.66799,                 1.3047,                0.92396,                0.92977,                0.96673,                0.60204,                 1.3322,                0.68459,                 1.5362,               0.009373,               0.009373,               0.009373
                     40,                 1.3559,                0.65647,                 1.2825,                0.93977,                0.90106,                0.96656,                0.60759,                 1.2753,                0.68509,                 1.4943,              0.0093565,              0.0093565,              0.0093565
                     41,                 1.3336,                0.65909,                 1.2718,                0.88243,                0.84828,                0.91403,                0.56787,                 1.3811,                0.83727,                 1.5392,                0.00934,                0.00934,                0.00934
                     42,                  1.366,                0.65082,                   1.26,                0.95339,                0.93931,                 0.9785,                0.63699,                 1.2427,                0.58448,                 1.4716,              0.0093235,              0.0093235,              0.0093235
                     43,                 1.3522,                0.64588,                  1.257,                0.95597,                0.93536,                0.97811,                0.60873,                 1.3113,                0.64417,                 1.5126,               0.009307,               0.009307,               0.009307
                     44,                 1.3238,                  0.637,                 1.2667,                0.95128,                0.95315,                0.98014,                0.61036,                 1.3275,                0.58709,                 1.5597,              0.0092905,              0.0092905,              0.0092905
                     45,                  1.321,                0.62705,                 1.2764,                0.94594,                0.94987,                0.98106,                0.63583,                 1.2477,                0.58648,                 1.4961,               0.009274,               0.009274,               0.009274
                     46,                 1.3021,                 0.6156,                 1.2373,                0.94475,                0.94755,                0.97979,                0.64421,                 1.2386,                 0.5831,                  1.472,              0.0092575,              0.0092575,              0.0092575
                     47,                 1.3307,                0.62547,                 1.2443,                0.94941,                0.94195,                0.97618,                 0.6227,                 1.2647,                0.61093,                  1.522,               0.009241,               0.009241,               0.009241
                     48,                 1.2852,                0.60237,                 1.2293,                 0.9616,                0.95803,                0.98346,                 0.6489,                 1.2234,                0.55727,                 1.4685,              0.0092245,              0.0092245,              0.0092245
                     49,                 1.2779,                0.60498,                 1.2716,                0.95102,                0.91293,                0.96991,                0.60728,                 1.2891,                0.63537,                 1.5184,               0.009208,               0.009208,               0.009208
                     50,                 1.2985,                0.62349,                 1.2233,                0.94171,                0.93777,                0.97781,                0.63091,                 1.2504,                0.60083,                 1.4718,              0.0091915,              0.0091915,              0.0091915
                     51,                 1.2881,                0.61562,                 1.2827,                0.91423,                0.93931,                0.96718,                 0.5999,                 1.3246,                0.63475,                 1.4978,               0.009175,               0.009175,               0.009175
                     52,                 1.3132,                0.61262,                 1.2481,                0.95486,                0.94876,                0.98199,                0.63885,                 1.2424,                0.56925,                 1.4803,              0.0091585,              0.0091585,              0.0091585
                     53,                  1.281,                0.58721,                 1.2246,                0.96049,                0.92997,                0.97884,                0.64166,                  1.237,                0.58163,                 1.4653,               0.009142,               0.009142,               0.009142
                     54,                 1.2666,                 0.5864,                 1.2278,                 0.9608,                0.93008,                0.97866,                0.63553,                 1.2375,                0.56461,                 1.4952,              0.0091255,              0.0091255,              0.0091255
                     55,                 1.2563,                0.57963,                 1.2321,                0.94398,                0.94723,                0.97984,                0.63201,                 1.2653,                0.57219,                 1.5053,               0.009109,               0.009109,               0.009109
                     56,                 1.2673,                0.60012,                 1.2386,                0.94485,                0.94936,                0.98336,                0.65672,                 1.1978,                0.56792,                 1.4362,              0.0090925,              0.0090925,              0.0090925
                     57,                 1.2689,                0.58603,                 1.2258,                 0.9473,                0.96042,                 0.9852,                0.66017,                 1.1933,                0.55114,                 1.4426,               0.009076,               0.009076,               0.009076
                     58,                  1.251,                0.57623,                 1.2394,                   0.96,                 0.9657,                0.98708,                 0.6579,                 1.1967,                 0.5237,                  1.445,              0.0090595,              0.0090595,              0.0090595
                     59,                  1.243,                0.56473,                 1.1909,                0.93269,                 0.9323,                0.97459,                0.64467,                 1.1897,                0.57832,                   1.42,               0.009043,               0.009043,               0.009043
                     60,                 1.2282,                0.56253,                 1.2032,                0.93933,                0.93952,                0.97343,                 0.6378,                 1.2664,                 0.5749,                 1.5085,              0.0090265,              0.0090265,              0.0090265
                     61,                 1.2068,                0.55647,                 1.2178,                0.94109,                0.95251,                 0.9824,                0.64092,                 1.2146,                0.58946,                 1.4591,                0.00901,                0.00901,                0.00901
                     62,                 1.2381,                0.56916,                 1.2054,                0.96015,                 0.9537,                0.98559,                0.66442,                 1.2011,                 0.5306,                 1.4452,              0.0089935,              0.0089935,              0.0089935
                     63,                 1.2116,                0.55065,                 1.2145,                0.94861,                0.94981,                0.98513,                0.65274,                 1.1909,                0.53617,                 1.4257,               0.008977,               0.008977,               0.008977
                     64,                 1.2277,                0.56104,                 1.2142,                0.93652,                0.95372,                0.98177,                0.64298,                 1.1996,                0.56185,                 1.4239,              0.0089605,              0.0089605,              0.0089605
                     65,                 1.2052,                0.54911,                 1.1859,                0.93841,                0.94855,                0.97853,                0.64874,                 1.2206,                 0.5847,                 1.4478,               0.008944,               0.008944,               0.008944
                     66,                 1.1966,                0.53984,                 1.1748,                0.93758,                0.96702,                0.98367,                0.65302,                 1.1917,                0.55196,                 1.4257,              0.0089275,              0.0089275,              0.0089275
                     67,                 1.2191,                0.55161,                 1.2072,                0.94767,                0.95564,                0.98342,                0.66352,                 1.1934,                0.53676,                 1.4372,               0.008911,               0.008911,               0.008911
                     68,                 1.2095,                0.54524,                 1.1707,                0.95964,                0.97235,                0.98807,                0.66947,                 1.1642,                0.49886,                 1.4293,              0.0088945,              0.0088945,              0.0088945
                     69,                 1.2352,                 0.5602,                 1.2285,                0.94723,                 0.9473,                0.98098,                0.64787,                 1.2239,                0.54249,                 1.4657,               0.008878,               0.008878,               0.008878
                     70,                 1.1806,                0.53396,                 1.1756,                0.95719,                0.94387,                0.97911,                 0.6435,                 1.2466,                0.53467,                 1.5106,              0.0088615,              0.0088615,              0.0088615
                     71,                 1.1989,                0.52979,                 1.1749,                0.97047,                0.95778,                0.98652,                0.65733,                 1.2191,                0.51198,                 1.4529,               0.008845,               0.008845,               0.008845
                     72,                 1.2021,                0.53922,                 1.1979,                0.95612,                0.94871,                0.98421,                0.65006,                 1.2109,                0.55679,                  1.451,              0.0088285,              0.0088285,              0.0088285
                     73,                 1.1949,                0.53267,                 1.1808,                 0.9705,                 0.9723,                0.98814,                0.66836,                 1.1945,                0.49983,                 1.4324,               0.008812,               0.008812,               0.008812
                     74,                 1.1896,                0.54069,                 1.1885,                0.95119,                0.95117,                0.98044,                 0.6552,                 1.1985,                0.53302,                 1.4247,              0.0087955,              0.0087955,              0.0087955
                     75,                 1.1969,                0.53046,                 1.1817,                0.94288,                 0.9591,                0.98136,                0.66263,                 1.1665,                0.54212,                 1.4126,               0.008779,               0.008779,               0.008779
                     76,                 1.2011,                0.53367,                 1.1577,                0.95468,                0.94723,                0.97464,                 0.6391,                 1.2281,                0.53783,                 1.4364,              0.0087625,              0.0087625,              0.0087625
                     77,                 1.1933,                0.53277,                 1.2068,                0.93571,                0.93272,                0.97452,                0.62992,                 1.2551,                0.58698,                 1.4742,               0.008746,               0.008746,               0.008746
                     78,                 1.1928,                 0.5239,                 1.1982,                0.94241,                0.93668,                0.97605,                0.65066,                 1.2076,                0.55958,                  1.435,              0.0087295,              0.0087295,              0.0087295
                     79,                 1.1688,                0.52204,                 1.1783,                0.96205,                0.96981,                0.98592,                0.66746,                 1.1889,                0.50879,                  1.441,               0.008713,               0.008713,               0.008713
                     80,                  1.183,                0.52768,                 1.2043,                 0.9562,                0.96438,                 0.9853,                0.66464,                 1.1977,                0.51242,                 1.4304,              0.0086965,              0.0086965,              0.0086965
