                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6051,                 1.0084,                 1.6539,                 0.8636,                0.81266,                0.90434,                0.54319,                 1.4637,                 1.1583,                 1.7602,               0.009439,               0.009439,               0.009439
                     36,                 1.5919,                0.98515,                 1.6416,                0.81744,                0.84697,                0.90853,                0.55723,                 1.4457,                 1.3949,                 1.7642,              0.0094225,              0.0094225,              0.0094225
                     37,                  1.589,                0.95791,                 1.6268,                0.91044,                0.86148,                0.94239,                0.58845,                 1.3915,                 1.2677,                 1.7297,               0.009406,               0.009406,               0.009406
                     38,                 1.5818,                0.93259,                 1.6241,                0.81759,                0.82784,                0.88774,                0.51862,                 1.5105,                 1.1242,                 1.7817,              0.0093895,              0.0093895,              0.0093895
                     39,                  1.555,                0.93025,                 1.6117,                0.90652,                0.89554,                0.95303,                0.59513,                 1.3918,                0.93613,                 1.6679,               0.009373,               0.009373,               0.009373
                     40,                 1.5595,                0.92597,                 1.5859,                0.90748,                0.89287,                0.95319,                0.58364,                 1.4423,                0.99673,                 1.7125,              0.0093565,              0.0093565,              0.0093565
                     41,                  1.553,                0.91053,                 1.5754,                0.92371,                0.89449,                0.95417,                0.59165,                 1.4189,                 1.2489,                 1.7258,                0.00934,                0.00934,                0.00934
                     42,                 1.5304,                0.89138,                 1.5643,                0.87376,                0.87662,                0.92744,                0.57625,                 1.4021,                 1.2468,                 1.7045,              0.0093235,              0.0093235,              0.0093235
                     43,                 1.5522,                 0.8946,                   1.56,                0.91819,                0.84828,                0.93732,                0.57638,                 1.4447,                 1.0141,                 1.6977,               0.009307,               0.009307,               0.009307
                     44,                 1.5007,                0.87919,                 1.5541,                0.89783,                0.89314,                0.94583,                 0.5609,                 1.4643,                0.95146,                 1.6783,              0.0092905,              0.0092905,              0.0092905
                     45,                 1.5262,                0.89628,                 1.5431,                0.87856,                0.87808,                0.93187,                0.52473,                 1.5931,                 1.0102,                 1.8329,               0.009274,               0.009274,               0.009274
                     46,                 1.5015,                0.85052,                 1.5428,                0.90785,                0.87078,                0.94598,                0.55472,                 1.5225,                 1.0091,                 1.7736,              0.0092575,              0.0092575,              0.0092575
                     47,                 1.4939,                0.85771,                 1.5355,                 0.9301,                0.91425,                0.95846,                0.59616,                 1.4567,                 0.8947,                 1.6571,               0.009241,               0.009241,               0.009241
                     48,                 1.4964,                0.85524,                  1.504,                0.94497,                0.90897,                0.96534,                0.60506,                 1.3988,                0.87907,                 1.6162,              0.0092245,              0.0092245,              0.0092245
                     49,                 1.4879,                0.83181,                 1.5378,                0.92412,                0.93189,                 0.9702,                0.61797,                 1.3856,                 0.8406,                 1.6325,               0.009208,               0.009208,               0.009208
                     50,                  1.481,                0.82299,                 1.5002,                0.93915,                0.91621,                0.96363,                0.60272,                 1.4012,                0.89923,                 1.6544,              0.0091915,              0.0091915,              0.0091915
                     51,                 1.4717,                0.81843,                 1.5017,                0.95125,                0.90633,                0.96422,                0.61467,                 1.3674,                0.86024,                 1.5967,               0.009175,               0.009175,               0.009175
                     52,                 1.4903,                0.81884,                 1.5082,                0.92083,                0.91557,                0.96177,                0.60855,                 1.3947,                0.81354,                 1.6324,              0.0091585,              0.0091585,              0.0091585
                     53,                 1.4712,                0.82063,                 1.5042,                0.93083,                0.92323,                0.96705,                0.58771,                 1.4669,                0.82719,                 1.6628,               0.009142,               0.009142,               0.009142
                     54,                 1.4555,                0.82045,                 1.4946,                0.91773,                0.94195,                0.96748,                 0.5967,                 1.4315,                0.79564,                 1.6419,              0.0091255,              0.0091255,              0.0091255
                     55,                 1.4605,                 0.7913,                 1.4872,                0.94041,                0.94327,                0.97369,                 0.6206,                  1.357,                0.77064,                 1.6203,               0.009109,               0.009109,               0.009109
                     56,                 1.4789,                0.80812,                 1.4782,                 0.9435,                0.93536,                0.97001,                  0.605,                 1.3644,                0.90244,                 1.6138,              0.0090925,              0.0090925,              0.0090925
                     57,                 1.4351,                0.77272,                 1.4694,                0.90496,                0.94211,                0.96244,                0.60451,                 1.3705,                0.90899,                 1.6056,               0.009076,               0.009076,               0.009076
                     58,                 1.4454,                0.78641,                 1.4715,                0.95101,                 0.9248,                0.97014,                 0.6177,                 1.3791,                0.73899,                  1.575,              0.0090595,              0.0090595,              0.0090595
                     59,                 1.4125,                 0.7567,                 1.4494,                0.95615,                0.92063,                0.97058,                0.62649,                 1.3416,                0.72285,                 1.5695,               0.009043,               0.009043,               0.009043
                     60,                 1.4352,                0.76465,                 1.4624,                0.95372,                0.92431,                0.96904,                0.62073,                 1.3542,                0.75404,                 1.5685,              0.0090265,              0.0090265,              0.0090265
                     61,                 1.4023,                0.74125,                 1.4649,                0.93143,                 0.9314,                0.97258,                0.62607,                 1.3291,                0.75473,                 1.5509,                0.00901,                0.00901,                0.00901
                     62,                 1.4168,                0.74504,                  1.444,                0.90496,                0.94327,                0.96358,                0.59285,                 1.3796,                0.78135,                 1.6248,              0.0089935,              0.0089935,              0.0089935
                     63,                 1.4201,                0.76158,                 1.4511,                0.95929,                0.92744,                0.97628,                0.62741,                 1.3424,                0.75709,                 1.5786,               0.008977,               0.008977,               0.008977
                     64,                  1.408,                0.73886,                 1.4313,                 0.9515,                0.93171,                0.97502,                0.61896,                  1.359,                 0.7721,                  1.605,              0.0089605,              0.0089605,              0.0089605
                     65,                 1.3927,                0.74011,                 1.4597,                 0.9547,                0.95119,                0.97936,                 0.6331,                 1.3445,                0.69318,                 1.5663,               0.008944,               0.008944,               0.008944
                     66,                  1.407,                0.71803,                 1.4425,                0.93173,                0.95778,                0.98006,                  0.651,                  1.287,                0.71861,                 1.5226,              0.0089275,              0.0089275,              0.0089275
                     67,                 1.3987,                0.71627,                  1.428,                0.96123,                0.94854,                0.97999,                 0.6396,                 1.3056,                0.69692,                 1.5317,               0.008911,               0.008911,               0.008911
                     68,                 1.3742,                0.72685,                 1.4281,                0.94846,                0.92254,                 0.9767,                0.63108,                 1.3403,                0.69046,                 1.5571,              0.0088945,              0.0088945,              0.0088945
                     69,                 1.3872,                0.72938,                 1.4122,                0.94095,                0.93668,                0.97316,                  0.584,                 1.4819,                 0.8012,                 1.7501,               0.008878,               0.008878,               0.008878
                     70,                 1.3885,                0.71241,                 1.4206,                0.93611,                0.95119,                0.97459,                0.61567,                 1.3675,                 0.7851,                 1.6255,              0.0088615,              0.0088615,              0.0088615
                     71,                 1.3842,                0.71854,                 1.4125,                0.93255,                0.94843,                0.97638,                0.61662,                 1.3295,                0.73309,                  1.586,               0.008845,               0.008845,               0.008845
                     72,                  1.357,                0.71358,                 1.4185,                 0.9511,                0.94941,                0.97861,                0.64449,                 1.3013,                0.65472,                 1.5272,              0.0088285,              0.0088285,              0.0088285
                     73,                 1.3721,                0.68599,                 1.4125,                0.95849,                0.93008,                0.97587,                0.64098,                 1.3308,                0.66522,                  1.555,               0.008812,               0.008812,               0.008812
                     74,                 1.3877,                0.70674,                  1.409,                0.94146,                0.94195,                0.96718,                0.63187,                 1.3108,                0.68106,                 1.5255,              0.0087955,              0.0087955,              0.0087955
                     75,                 1.3693,                0.68632,                 1.3963,                0.93163,                0.95281,                0.97596,                0.62079,                 1.3427,                0.86024,                 1.6108,               0.008779,               0.008779,               0.008779
                     76,                 1.3819,                0.70562,                 1.4222,                0.93967,                0.94527,                0.97274,                0.64032,                  1.319,                0.65444,                 1.5356,              0.0087625,              0.0087625,              0.0087625
                     77,                  1.363,                0.69802,                 1.3911,                0.95637,                0.92876,                0.97678,                0.65173,                 1.2876,                0.67128,                 1.5203,               0.008746,               0.008746,               0.008746
                     78,                 1.3701,                0.69269,                 1.4052,                0.95518,                0.96174,                0.98358,                0.64422,                 1.2975,                0.66218,                  1.514,              0.0087295,              0.0087295,              0.0087295
                     79,                 1.3448,                 0.6928,                  1.385,                0.93398,                0.97055,                0.98408,                0.65251,                  1.271,                0.64533,                 1.4994,               0.008713,               0.008713,               0.008713
                     80,                  1.346,                0.68514,                 1.3916,                0.94043,                0.93404,                 0.9683,                0.63584,                 1.3233,                0.76437,                 1.5465,              0.0086965,              0.0086965,              0.0086965
                     81,                 1.3264,                0.66803,                  1.388,                0.94776,                0.95744,                0.97976,                0.64604,                 1.2877,                0.64319,                 1.5203,                0.00868,                0.00868,                0.00868
                     82,                 1.3391,                0.67609,                 1.3982,                 0.9448,                0.96834,                0.98122,                0.66032,                 1.2599,                0.63579,                 1.4852,              0.0086635,              0.0086635,              0.0086635
                     83,                 1.3386,                0.65504,                 1.3824,                0.95338,                0.94431,                0.98013,                0.65042,                  1.272,                0.63344,                 1.5087,               0.008647,               0.008647,               0.008647
                     84,                 1.3383,                0.66832,                 1.3618,                0.94983,                0.94919,                0.97912,                0.64959,                 1.2449,                 0.6497,                  1.498,              0.0086305,              0.0086305,              0.0086305
                     85,                  1.329,                0.65932,                 1.3677,                0.93169,                0.95383,                0.97882,                0.64513,                 1.2879,                0.66082,                 1.5253,               0.008614,               0.008614,               0.008614
                     86,                  1.331,                0.66105,                 1.3713,                0.95291,                0.96106,                0.98293,                0.65391,                 1.2796,                0.65265,                  1.534,              0.0085975,              0.0085975,              0.0085975
                     87,                 1.3415,                0.66244,                 1.3952,                0.95678,                0.94459,                0.97969,                0.64754,                 1.2812,                0.66578,                 1.5177,               0.008581,               0.008581,               0.008581
                     88,                 1.3051,                0.64239,                  1.363,                 0.9288,                0.94649,                0.97429,                 0.6443,                 1.2549,                0.70218,                  1.508,              0.0085645,              0.0085645,              0.0085645
                     89,                 1.3388,                0.66069,                 1.3792,                 0.9558,                0.94144,                0.97644,                0.64562,                 1.2845,                0.62629,                 1.4975,               0.008548,               0.008548,               0.008548
                     90,                 1.3118,                0.63901,                 1.3724,                0.94373,                0.95137,                0.98004,                 0.6578,                 1.2633,                0.63429,                 1.4796,              0.0085315,              0.0085315,              0.0085315
                     91,                 1.3084,                0.64169,                 1.3626,                 0.9447,                0.95515,                0.98037,                0.65975,                 1.2663,                0.64178,                 1.4934,               0.008515,               0.008515,               0.008515
                     92,                 1.3126,                0.63444,                 1.3546,                0.95794,                0.95119,                0.98162,                0.65698,                 1.2682,                0.62398,                  1.494,              0.0084985,              0.0084985,              0.0084985
                     93,                 1.3068,                0.64017,                 1.3645,                0.96792,                0.95251,                0.98284,                0.66335,                 1.2482,                0.58708,                 1.4581,               0.008482,               0.008482,               0.008482
                     94,                 1.3213,                0.64959,                 1.3733,                0.93736,                0.95251,                0.97842,                0.65908,                 1.2737,                0.62525,                 1.4999,              0.0084655,              0.0084655,              0.0084655
                     95,                 1.3044,                0.62856,                  1.371,                0.95894,                0.93799,                 0.9816,                0.65896,                 1.2566,                0.62019,                 1.4907,               0.008449,               0.008449,               0.008449
                     96,                 1.2878,                0.63381,                 1.3672,                0.95555,                0.94063,                0.98222,                0.65802,                  1.263,                0.61435,                 1.4967,              0.0084325,              0.0084325,              0.0084325
                     97,                 1.2876,                0.60786,                 1.3706,                0.95855,                0.95251,                0.98388,                0.66188,                 1.2618,                0.60331,                   1.48,               0.008416,               0.008416,               0.008416
                     98,                 1.2781,                0.61534,                 1.3556,                0.95568,                0.93886,                0.97592,                 0.6573,                 1.2692,                0.64581,                 1.5135,              0.0083995,              0.0083995,              0.0083995
                     99,                  1.296,                0.61417,                 1.3422,                0.95174,                0.96263,                0.98433,                0.66705,                 1.2454,                0.60011,                 1.4698,               0.008383,               0.008383,               0.008383
                    100,                 1.2742,                0.62066,                  1.352,                 0.9584,                0.96834,                0.98561,                0.67138,                 1.2425,                0.57958,                 1.4751,              0.0083665,              0.0083665,              0.0083665
                    101,                 1.2858,                0.61737,                 1.3429,                0.95086,                0.96306,                0.98318,                0.66197,                 1.2759,                0.58214,                 1.4911,                0.00835,                0.00835,                0.00835
                    102,                 1.2901,                0.61273,                  1.365,                0.94382,                0.95311,                0.98279,                0.65314,                 1.2634,                0.61085,                 1.5048,              0.0083335,              0.0083335,              0.0083335
                    103,                 1.2831,                0.61329,                 1.3598,                0.93445,                0.93536,                0.97597,                0.65068,                 1.2656,                0.63393,                 1.4945,               0.008317,               0.008317,               0.008317
                    104,                 1.2744,                0.60504,                 1.3409,                0.94503,                0.95261,                0.97905,                0.65709,                 1.2635,                0.61031,                 1.4865,              0.0083005,              0.0083005,              0.0083005
                    105,                 1.2691,                0.60191,                 1.3332,                0.95891,                0.95433,                0.98241,                0.65983,                 1.2654,                0.61291,                 1.5147,               0.008284,               0.008284,               0.008284
                    106,                 1.2713,                0.59099,                  1.341,                 0.9574,                0.96306,                0.98248,                 0.6602,                 1.2693,                0.60336,                 1.5086,              0.0082675,              0.0082675,              0.0082675
                    107,                 1.2599,                 0.5905,                 1.3392,                 0.9415,                 0.9555,                0.97923,                0.66173,                 1.2391,                0.60176,                 1.4618,               0.008251,               0.008251,               0.008251
                    108,                 1.2613,                 0.6017,                 1.3258,                0.94782,                0.95859,                0.98258,                0.66071,                 1.2684,                0.57015,                 1.4774,              0.0082345,              0.0082345,              0.0082345
                    109,                 1.2772,                0.60091,                 1.3443,                0.96791,                0.95504,                0.98255,                0.67534,                 1.2323,                0.56383,                 1.4566,               0.008218,               0.008218,               0.008218
                    110,                 1.2696,                0.60283,                 1.3402,                0.93395,                0.94195,                0.97408,                0.65421,                 1.2463,                0.65488,                 1.4596,              0.0082015,              0.0082015,              0.0082015
                    111,                 1.2495,                0.59304,                 1.3305,                0.95562,                0.94327,                0.97909,                0.65403,                 1.2744,                0.60348,                  1.474,               0.008185,               0.008185,               0.008185
                    112,                 1.2514,                0.59208,                 1.3199,                0.95527,                0.93272,                0.97769,                0.65598,                 1.2611,                0.61007,                 1.4854,              0.0081685,              0.0081685,              0.0081685
                    113,                 1.2645,                 0.5947,                 1.3294,                0.95765,                0.95468,                0.98252,                0.67748,                 1.2038,                0.56303,                  1.433,               0.008152,               0.008152,               0.008152
                    114,                 1.2568,                0.58703,                 1.3286,                0.95489,                0.95383,                0.98179,                0.66017,                 1.2688,                0.58296,                 1.4711,              0.0081355,              0.0081355,              0.0081355
                    115,                 1.2512,                0.58698,                 1.3286,                0.96663,                0.95529,                 0.9864,                0.67044,                 1.2308,                 0.5738,                 1.4657,               0.008119,               0.008119,               0.008119
                    116,                 1.2525,                0.58701,                 1.3167,                 0.9672,                0.95778,                0.98525,                0.66732,                 1.2445,                0.58778,                 1.4914,              0.0081025,              0.0081025,              0.0081025
                    117,                 1.2417,                0.58561,                   1.31,                 0.9444,                0.96353,                0.98384,                0.65833,                 1.2491,                0.59108,                 1.4806,               0.008086,               0.008086,               0.008086
                    118,                  1.248,                0.58914,                 1.3197,                 0.9544,                0.94855,                0.98346,                0.66934,                  1.266,                 0.5702,                 1.4614,              0.0080695,              0.0080695,              0.0080695
                    119,                 1.2548,                0.58193,                 1.3174,                0.95153,                0.95778,                0.98597,                 0.6606,                 1.2499,                0.61599,                  1.499,               0.008053,               0.008053,               0.008053
                    120,                 1.2298,                 0.5648,                 1.3131,                0.95664,                0.93931,                 0.9811,                0.66816,                 1.2591,                0.58484,                 1.4676,              0.0080365,              0.0080365,              0.0080365
                    121,                 1.2366,                0.57487,                 1.3194,                0.96444,                0.94591,                0.98497,                0.66343,                 1.2433,                0.57378,                 1.4898,                0.00802,                0.00802,                0.00802
                    122,                 1.2335,                0.56784,                   1.31,                0.97123,                0.93514,                0.98395,                0.66593,                 1.2488,                0.57323,                 1.4886,              0.0080035,              0.0080035,              0.0080035
                    123,                 1.2444,                0.58193,                 1.3109,                0.95543,                0.95515,                0.98666,                0.66732,                 1.2229,                0.57081,                 1.4505,               0.007987,               0.007987,               0.007987
                    124,                 1.2217,                 0.5693,                 1.3069,                0.96017,                 0.9542,                0.98394,                0.67378,                 1.2166,                0.58683,                 1.4409,              0.0079705,              0.0079705,              0.0079705
                    125,                 1.2159,                0.56132,                 1.3151,                0.96688,                0.95646,                0.98347,                0.68052,                 1.2169,                0.55337,                 1.4395,               0.007954,               0.007954,               0.007954
                    126,                 1.2305,                0.57374,                 1.2912,                0.96422,                0.94327,                0.98066,                 0.6643,                 1.2315,                0.56961,                  1.451,              0.0079375,              0.0079375,              0.0079375
                    127,                 1.2287,                  0.571,                 1.3065,                0.96294,                0.95988,                0.98572,                0.68557,                 1.2064,                0.54735,                 1.4346,               0.007921,               0.007921,               0.007921
                    128,                 1.2353,                0.57942,                 1.3148,                0.93925,                0.96438,                0.98325,                0.66992,                 1.2362,                0.56061,                 1.4696,              0.0079045,              0.0079045,              0.0079045
                    129,                 1.2373,                0.55781,                 1.3051,                0.96283,                0.93799,                0.98463,                0.66182,                 1.2747,                 0.5775,                 1.5096,               0.007888,               0.007888,               0.007888
                    130,                 1.2157,                0.56508,                 1.3092,                 0.9589,                0.95406,                0.98505,                0.67073,                 1.2213,                0.56221,                 1.4675,              0.0078715,              0.0078715,              0.0078715
                    131,                 1.2168,                0.57348,                 1.2912,                0.95081,                0.95778,                0.98338,                0.66505,                 1.2354,                0.57741,                 1.4704,               0.007855,               0.007855,               0.007855
                    132,                 1.2217,                0.55789,                 1.2828,                0.95755,                 0.9657,                0.98555,                 0.6812,                 1.2163,                0.54676,                 1.4613,              0.0078385,              0.0078385,              0.0078385
                    133,                 1.2189,                0.56153,                 1.3073,                0.95441,                0.95251,                0.98547,                0.67336,                 1.2397,                0.55978,                 1.4677,               0.007822,               0.007822,               0.007822
                    134,                 1.2245,                0.57236,                 1.3075,                0.95609,                0.94789,                0.98238,                0.67628,                  1.215,                0.56151,                 1.4522,              0.0078055,              0.0078055,              0.0078055
                    135,                 1.2082,                0.56078,                 1.2989,                 0.9679,                0.95473,                0.98571,                 0.6703,                 1.2364,                0.55733,                 1.4497,               0.007789,               0.007789,               0.007789
                    136,                 1.2063,                0.55663,                 1.2929,                0.96646,                0.95046,                0.98504,                0.67224,                 1.2389,                0.55387,                 1.4602,              0.0077725,              0.0077725,              0.0077725
                    137,                 1.1967,                0.54892,                 1.2836,                0.95915,                0.96019,                 0.9855,                0.68172,                 1.2021,                0.54872,                 1.4469,               0.007756,               0.007756,               0.007756
                    138,                 1.2259,                0.55482,                  1.297,                 0.9643,                0.95778,                0.98548,                0.67648,                 1.2101,                0.57346,                 1.4509,              0.0077395,              0.0077395,              0.0077395
                    139,                 1.2069,                0.55533,                 1.3032,                0.96661,                0.95482,                0.98536,                0.68123,                 1.2152,                0.53372,                  1.445,               0.007723,               0.007723,               0.007723
                    140,                 1.2031,                0.55441,                 1.3038,                0.96918,                0.95424,                0.98567,                0.68262,                 1.2067,                0.53582,                 1.4499,              0.0077065,              0.0077065,              0.0077065
                    141,                 1.2045,                0.54837,                 1.2999,                0.96111,                0.95383,                0.98461,                0.69256,                 1.1999,                0.52076,                 1.4354,                0.00769,                0.00769,                0.00769
                    142,                 1.1828,                0.54176,                 1.2821,                 0.9598,                0.95646,                0.98543,                0.67963,                 1.2281,                0.54433,                 1.4627,              0.0076735,              0.0076735,              0.0076735
